,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total
2010-01-01,46.37208963718624,183.5548250893249,299.95851678061933,366.6405682614426,384.9125984259064,321.09163457518616,143.78230591568155,78.00180181922781,1824.3143405045748,13.093112659101108,65.56046057093907,119.74921322546886,100.71542516621858,112.1169042458655,129.07987192945492,100.7517456660064,71.187192248521,712.2539257115754,59.46520229628735,249.11528566026396,419.7077300060882,467.35599342766113,497.0295026717719,450.1715065046411,244.53405158168795,149.1889940677488,2536.5682662161503
2010-02-01,27.092012893412118,209.95645909464562,283.43565435683814,299.4105303971098,381.0981544405358,342.86273175262164,164.27950244437545,87.72266899715713,1795.8577143766956,14.1271125788664,61.64307461342592,105.86217785969558,93.8436210066698,122.35979015955134,115.29022156724069,100.94350899151694,74.33631917901258,688.4058259559793,41.21912547227852,271.59953370807153,389.2978322165337,393.25415140377964,503.4579446000871,458.1529533198623,265.2230114358924,162.0589881761697,2484.263540332675
2010-03-01,26.223029210970864,233.35963786443034,317.33976785846977,395.1911675407262,460.4891870466335,433.07407181108505,180.32161071586023,105.40420203596099,2151.4026740841373,16.11216677580742,89.75384433856152,106.6512588664585,106.74222940085495,125.11157789126422,150.07020923789295,109.8028192598262,74.18389778854649,778.4280035592122,42.33519598677829,323.11348220299186,423.99102672492825,501.9333969415812,585.6007649378977,583.144281048978,290.12442997568644,179.58809982450748,2929.8306776433496
2010-04-01,26.17264410633111,219.7467096605464,285.36060129310835,316.55683936347384,405.7127336516987,335.84997390847894,172.89746553295132,86.99369501575474,1849.2906625323435,19.198384110802333,73.86913653113673,107.0146155737884,93.97026728149281,105.45177567990751,120.46519410168409,132.41445532737353,103.60775491633856,755.9915835225239,45.37102821713344,293.61584619168315,392.3752168668967,410.52710664496664,511.16450933160627,456.315168010163,305.31192086032485,190.60144993209332,2605.2822460548673
2010-05-01,31.313884104551825,184.94177836642223,262.9938916061123,358.24741327194647,410.1784034582676,390.9755000731531,196.8317895221444,111.6562417807125,1947.1389021833104,19.19411161407843,66.77093185398631,103.96275853809013,107.08206020241607,91.37120022905972,163.5954732614832,127.33212509822789,111.63011097339032,790.9387717707322,50.507995718630255,251.71271022040855,366.9566501442024,465.32947347436254,501.54960368732736,554.5709733346363,324.1639146203723,223.28635275410284,2738.0776739540424
2010-06-01,35.224795502517146,207.54997842876335,266.07669413636535,334.6890792334132,391.3926419999283,352.0083652438953,217.33874804237595,107.2016268565505,1911.4819294438091,22.118279569892472,81.55353075170842,120.54135338345864,108.579754601227,114.91587417702999,150.82553437319467,133.7621776504298,125.10729613733906,857.40380064428,57.34307507240962,289.10350918047175,386.618047519824,443.2688338346402,506.3085161769583,502.83389961708997,351.10092569280573,232.30892299388955,2768.885730088089
2010-07-01,29.162058523886667,192.20389112801655,303.2578735776916,355.62800591468164,376.8474493290646,374.0155156512963,217.15853551312378,127.3226881092563,1975.5960177470172,18.174937170695234,75.83867964164608,114.00004202799921,121.16525401959007,137.49107345925236,155.48961003538756,136.36006789367738,122.63211162558872,881.1517758738366,47.3369956945819,268.04257076966263,417.2579156056908,476.7932599342717,514.3385227883169,529.5051256866839,353.51860340680116,249.95479973484504,2856.747793620854
2010-08-01,25.228872831689458,199.99192493796227,234.3367866127914,275.7781506046515,343.5256982861231,332.6202342238986,213.87427938073154,122.70387669987026,1748.059823577718,11.059139784946236,71.48519362186788,124.5593984962406,121.64953987730061,104.92318946598391,160.81398035817446,111.63610315186246,98.08412017167382,804.21066492805,36.2880126166357,271.47711855983016,358.896185109032,397.42769048195214,448.448887752107,493.4342145820731,325.510382532594,220.78799687154407,2552.270488505768
2010-09-01,34.33404784549547,184.88678660478337,253.77962483973448,290.1651401077279,346.8139031325284,340.983976703407,177.50165414485994,126.844365006183,1755.3094983847195,16.086021505376344,75.5125284738041,94.42406015037594,121.64953987730061,105.92245793708851,131.8474870017331,111.63610315186246,108.09270386266094,765.1709019602021,50.42006935087181,260.39931507858745,348.20368499011045,411.81467998502853,452.7363610696169,472.8314637051401,289.1377572967224,234.93706886884394,2520.4804003449217
2010-10-01,23.29901340711848,199.73499452503518,237.26641466944264,291.0776367356837,349.951043248603,308.36118901991586,190.26967079855638,110.95612161882245,1710.9160840231777,14.099290838076536,67.57298794525418,115.71595095014465,104.73673004288607,96.09349493144161,141.07745264134456,118.8787604388074,83.21302090948141,741.3876886974365,37.398304245195014,267.30798247028935,352.9823656195873,395.81436677856976,446.04453818004464,449.4386416612604,309.14843123736375,194.16914252830387,2452.3037727206142
