,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total
2014-10-01,5.642448221400144,4.120520341744534,3.169667950794576,3.4091980303126035,3.2114744182870507,0.0,0.0,1.595638430126513,3.7966235505866104,5.0165245037970045,4.049065867918477,2.962149057785143,2.6013793107196674,2.0152031254362646,0.0,0.0,1.3011868219950316,3.2871742773912156,5.282577780694629,4.0882564668619645,3.099144545489081,3.0682290534628445,2.7273199086150073,0.0,0.0,1.4298115243895773,3.553793637182645
2014-11-01,5.793926092008483,3.937174575999811,3.0633308007516984,3.317769602548946,3.131581241122186,0.0,0.0,1.7382779033904538,3.6977940519307957,4.994732088064504,3.6980526624420897,2.8253891293916267,2.3049357849322076,1.7162018480913388,0.0,0.0,1.448869863886594,3.070454580894576,5.437069348966068,3.8699672203278905,2.94979607841499,2.9001975106320383,2.5479624248508292,0.0,0.0,1.5914804332223231,3.4111861464233146
2014-12-01,5.592497754577256,3.617312532634008,2.998515635720417,3.336986767211975,3.2324713475785973,0.0,0.0,1.723898083759456,3.6101988955270334,4.793783318349387,3.6992645705878138,3.2283075951785065,2.520310054889368,1.8665043933116618,0.0,0.0,1.4494359478616705,3.231869614448112,5.226507365416125,3.6888850597028076,3.087597815993257,2.9737227576634795,2.6520681241792197,0.0,0.0,1.581357998832488,3.452633386051076
2015-01-01,5.987601053124008,4.117339753130042,3.029122291907176,3.331637514802183,3.063121249384429,0.0,0.0,1.6932521014605033,3.7351885160687917,5.498911682720057,3.831132048029938,2.9835775036543337,2.5397929515301447,1.8205727535645027,0.0,0.0,1.6338817676305997,3.2910769735419754,5.7841103514732115,3.999580208966806,2.9797704536290155,3.0031734005152773,2.6198719998611217,0.0,0.0,1.6684752831338088,3.508531385503973
2015-02-01,5.713052599736546,3.9789235366593596,2.9734167604934667,3.290544460948081,3.162466794402566,0.0,0.0,1.640506907567016,3.6722407331469005,4.983666271886861,3.6983618839709584,3.041640974796719,2.8524249426738875,2.05298883130057,0.0,0.0,1.4422176537497309,3.21330176484715,5.352064825883373,3.829286584127635,2.9459729292502397,3.0226432530561915,2.696969381356054,0.0,0.0,1.5343223739857075,3.5288097593328485
2015-03-01,5.383235795690146,4.077142216173012,3.0414825276366293,3.3494662096443992,3.1300023183885024,0.0,0.0,1.4416989087177638,3.6555602709988744,4.558045468409915,3.8388243710027554,2.916065546023572,2.6244349354182583,1.839071313873049,0.0,0.0,1.1757755062547872,3.098234154047496,4.963182589563497,3.98707292273493,2.971672041693763,3.0420407413843593,2.656467834878112,0.0,0.0,1.2829426329679614,3.4165975207604573
2015-04-01,5.056956848174286,3.8569289406303584,2.8294341176388595,3.1944240012479725,3.2153586536100236,0.0,0.0,1.3720118516740658,3.5169786833591847,4.784838413317019,3.9455220900076706,2.9693188574231817,2.4726563712752307,1.7918457991978154,0.0,0.0,1.2673647398697863,3.152287955674033,4.935846684511787,3.8843808448513037,2.9089578529172435,2.98227313750081,2.773940514650211,0.0,0.0,1.3211360106783525,3.3915669714757577
2015-05-01,5.344305234942736,3.9371565526528927,2.887995240829445,3.2436643435095327,3.1476113097020266,0.0,0.0,1.4574220163858058,3.574267585173184,4.547033135993504,3.646374316056108,2.8018643668168552,2.483917489751061,1.7299519127578196,0.0,0.0,1.2189236925703422,3.0278474654379837,4.968317543937033,3.7891194711591183,2.8345899479127463,2.8909370630746998,2.5465531007510567,0.0,0.0,1.3473761616250908,3.352554025816881
2015-06-01,5.4445517766974785,3.9816993945993375,2.999540873778942,3.2450520950445876,3.106814531638045,0.0,0.0,1.48343808833758,3.599777265978763,4.420238928540195,3.6111058864515666,2.9277104664492315,2.5282957006558124,1.693559010267982,0.0,0.0,1.209272404937788,3.028937868200538,4.960723124923372,3.8328468923357715,2.9599242289177505,2.950425626226256,2.5543768929044766,0.0,0.0,1.3357453511456912,3.3883778361107586
2015-07-01,5.179098154846564,3.9443264600084733,3.0808843175303666,3.159606249621431,2.857148076857171,0.0,0.0,1.4112442231828293,3.5100406239600566,5.157873946269212,3.8962657811890162,2.871367823797949,2.4748818518430324,1.5958058184800221,0.0,0.0,1.3890552725858558,3.1525238446935386,5.158149145292074,3.9005590275745616,2.9625689411086755,2.8782584558571367,2.371392833900804,0.0,0.0,1.3958766136302005,3.364361401231717
2015-08-01,5.340266429444876,3.7523078498411797,2.9573955841123074,3.244551416691789,2.9935126449541123,0.0,0.0,1.5541233927721354,3.5057550931151322,4.642418376963569,3.714117122397419,2.948820613972166,2.712982135754827,1.9963098166953996,0.0,0.0,1.2465882051910866,3.1917293747401803,5.030478347799944,3.7613548552015366,2.9749374090787244,3.0436956853141197,2.5480808800882966,0.0,0.0,1.4031894735716313,3.3457798198822384
2015-09-01,5.25318820773772,3.9835941400549117,3.0891230260583944,3.157682193315252,3.0685323791877868,0.0,0.0,1.4749495381438718,3.536580458924381,4.794632809397788,3.562624842389427,2.9804671134357377,2.6805160230113456,1.8297643166808755,0.0,0.0,1.3261026160276925,3.1227970856559026,4.996666042370454,3.803756886469861,3.004830856246762,2.9170169138064574,2.5495221117298072,0.0,0.0,1.3869318694999249,3.3924862162365708
2015-10-01,5.093467413610129,3.795092575895077,2.900287005112231,3.0887954837219196,3.025205028971047,0.0,0.0,1.4483139908730596,3.4045391171160504,4.565665503415416,3.374484823996883,2.766640985796294,2.275325641223056,1.4741365457889937,0.0,0.0,1.3202933021453904,2.84016875502454,4.854077751855726,3.628773822489968,2.853750231253371,2.752295188598203,2.351021980523013,0.0,0.0,1.3776734906564838,3.179573980912553
2015-11-01,5.380925725984898,3.8534301939801434,2.8078529412111477,3.0542446716145957,2.89423324775394,0.0,0.0,1.473491828739469,3.475959530244091,4.526369423679373,3.745124834596629,3.0932226381625174,2.473275709916823,1.4203440862305932,0.0,0.0,1.1972101886518496,3.041204072792786,4.960501657877318,3.8255325732620253,2.9417896450607683,2.801151914503679,2.287565906497356,0.0,0.0,1.3314213261610637,3.281870928771325
2015-12-01,5.55114487401434,3.91163625022546,2.7865654825904924,3.1768231227275754,2.9415821708973215,0.0,0.0,1.5040165326021573,3.5256956774459294,4.51686628308007,3.728638957101194,2.809845831626349,2.452009219538372,1.4858510565019056,0.0,0.0,1.10358364107475,2.9118583464572203,5.005911212996539,3.7837716823467735,2.7854512494578714,2.910681118637966,2.321761528394823,0.0,0.0,1.293922060351501,3.2773069745873284
2016-01-01,5.157376471653855,3.7501270565192057,2.9939922099873733,3.271663868129949,2.8870305136551995,0.0,0.0,1.4780690211581422,3.4583145895793588,4.18184592908607,3.4127045093621486,2.822258479537304,2.5475053406339336,1.7924654084395093,0.0,0.0,1.0865266343008375,2.9042840298216164,4.678431454398561,3.5740202053370527,2.9171154040791345,2.948985206680026,2.3477755899016315,0.0,0.0,1.2917291384327811,3.211628605934476
2016-02-01,5.260116551954874,3.618707282099124,2.9447704939129284,3.353222644543603,3.366913782026085,0.0,0.0,1.5650486306612452,3.564761843139338,4.477136527945424,3.4973350513346206,2.740358051308851,2.283704078821805,1.5013218274065727,0.0,0.0,1.2275082013219238,2.908396704329316,4.96264391326191,3.5899644881006054,2.896256130505672,2.916838948088669,2.5331858032599737,0.0,0.0,1.439580897922991,3.2386962047988628
2016-03-01,5.28429530305951,3.548405152648825,2.8596141577688323,3.164711001772174,3.2252259548273408,0.0,0.0,1.6127432566260125,3.4272389469972464,4.62566276429818,3.398531882276474,2.7968109056628876,2.329339908758808,1.7781154630440785,0.0,0.0,1.386944679143699,2.984131088723809,4.928410299605236,3.46073097260508,2.842590788035194,2.834100371935858,2.624209429254598,0.0,0.0,1.4843058780394827,3.2658302171141216
2016-04-01,5.182358178650587,3.798258254112798,2.7675406080787086,3.101831844476354,3.050000772063541,0.0,0.0,1.4185282826756629,3.4680150219709875,4.654310964926575,3.7883307266755124,2.6790689963540277,2.2608559239835846,1.652714279679686,0.0,0.0,1.1758407390388568,2.9933250127188966,4.928553170841505,3.7946935062290104,2.740723190747052,2.729206500479317,2.4135340112677066,0.0,0.0,1.3084589049572533,3.241865648622626
2016-05-01,4.877579082279347,3.6043018103816626,2.8568630899781824,2.9155633527645257,2.9420177123465123,0.0,0.0,1.3958134867076109,3.3287332850238682,4.531735528768039,3.6238723875490564,2.7336095980558524,2.2646189243896275,1.5992321389636377,0.0,0.0,1.2038742761653691,2.8500761960803063,4.6944622836325625,3.635390490444035,2.852024233834471,2.7210316088303843,2.3954677356861604,0.0,0.0,1.2904103386244736,3.1357986632559802
2016-06-01,4.789498490534059,3.6178067851222555,2.7851432256586395,2.8966377338265814,2.775921467413862,0.0,0.0,1.3152037030292842,3.2340552295101372,4.592559748019685,3.7284995661060663,2.8539357467306674,2.2695941753539395,1.5513437270085837,0.0,0.0,1.2373389866391884,2.921724105889028,4.65988100292398,3.6689642510010456,2.846015580844663,2.6290132052410757,2.2510810771568828,0.0,0.0,1.273136513911055,3.0882970543735815
2016-07-01,4.783100894226733,3.40873504996296,2.5599269623119465,2.8340445206414735,2.9872997288578556,0.0,0.0,1.4050879035235364,3.18451005289613,4.02465943500573,3.590219027046029,2.6016547726609387,2.2667967095690953,1.6697369304887308,0.0,0.0,0.9613415879243983,2.773490330825815,4.388687144925955,3.4951059558356987,2.5930665288531936,2.5801794608471678,2.3873920283715178,0.0,0.0,1.179894970957356,2.984141140683471
2016-08-01,4.867611369516981,3.6415230672644876,2.8725654923313133,3.03284161775945,2.9308283652096505,0.0,0.0,1.406238516179094,3.3949263658251114,4.475214094741894,3.6126619509136564,2.4741622403327073,2.076802946658198,1.6142871525835263,0.0,0.0,1.1516473097198356,2.791820385680737,4.694707669722222,3.6300378726901066,2.665354934183487,2.6232765850410606,2.449579895918108,0.0,0.0,1.2856164401957737,3.13392969384782
