date,sex,group,infection_death
2021-04-01,female,80_99,309.46363571674243
2021-05-01,male,80_99,775.6540508959782
2021-05-01,female,80_99,873.8322910876332
2021-06-01,male,80_99,466.12025798451447
2021-06-01,female,80_99,655.434972780214
2021-07-01,male,80_99,120.6857798456881
2021-07-01,female,80_99,136.3710873917105
2020-03-01,male,total,52.45614035087719
2020-03-01,female,total,12.543859649122806
2020-04-01,male,total,261.44686648501363
2020-04-01,female,total,157.55313351498637
2020-05-01,male,total,254.0737704918033
2020-05-01,female,total,162.9262295081967
2020-06-01,male,total,43.96551724137932
2020-06-01,female,total,28.448275862068968
2020-07-01,male,total,20.389880952380956
2020-07-01,female,total,8.395833333333334
2020-08-01,male,total,176.02920168067226
2020-08-01,female,total,91.456512605042
2020-09-01,male,total,199.2277992277992
2020-09-01,female,total,143.62934362934362
2020-10-01,male,total,148.1868131868132
2020-10-01,female,total,71.97645211930927
2020-11-01,male,total,205.5041782729805
2020-11-01,female,total,157.9243931555909
2020-12-01,male,total,738.5494505494505
2020-12-01,female,total,461.59340659340666
2021-01-01,male,total,1148.1414738575545
2021-01-01,female,total,826.1156689995883
2021-02-01,male,total,1322.1443187937534
2021-02-01,female,total,1031.8556812062466
2021-03-01,male,total,800.126450812041
2021-03-01,female,total,567.4164063308161
2021-04-01,male,total,552.5833987441131
2021-04-01,female,total,430.98802982731553
2021-05-01,male,total,1497.5043322259137
2021-05-01,female,total,1201.2670963455148
2021-06-01,male,total,901.2520868113522
2021-06-01,female,total,868.7479131886478
2021-07-01,male,total,281.2563291139241
2021-07-01,female,total,191.493670886076
