date,gender_group,age_group,value
2009-08-01,male,30_39,262.72466754268186
2009-09-01,male,30_39,294.25202230550076
2009-10-01,male,30_39,283.08671359668773
2009-11-01,male,30_39,275.64630921016095
2009-12-01,male,30_39,293.92384605471
2010-01-01,male,30_39,299.9641533932876
2010-02-01,male,30_39,283.67082141900386
2010-03-01,male,30_39,317.3193498041173
2010-04-01,male,30_39,285.437525615284
2010-05-01,male,30_39,262.90692121041684
2010-06-01,male,30_39,266.1582540784919
2010-07-01,male,30_39,303.3945638004789
2010-08-01,male,30_39,234.29820559980664
2010-09-01,male,30_39,253.7086077186839
2010-10-01,male,30_39,237.07107677218247
2010-11-01,male,30_39,281.45034289809865
2010-12-01,male,30_39,259.9795011038335
2011-01-01,male,30_39,245.99593618111984
2011-02-01,male,30_39,256.44821213949655
2011-03-01,male,30_39,278.3234836114043
2011-04-01,male,30_39,265.0052245056698
2011-05-01,male,30_39,381.37360676678657
2011-06-01,male,30_39,274.55199718874763
2011-07-01,male,30_39,271.83067060127263
2011-08-01,male,30_39,256.2362908814502
2011-09-01,male,30_39,218.3678251752313
2011-10-01,male,30_39,261.92381563419167
2011-11-01,male,30_39,221.3859891729716
2011-12-01,male,30_39,216.4940783547512
2012-01-01,male,30_39,251.16254063272808
2012-02-01,male,30_39,227.5286228164895
2012-03-01,male,30_39,269.75035300421
2012-04-01,male,30_39,262.515147104466
2012-05-01,male,30_39,220.3791555010492
2012-06-01,male,30_39,230.99695047573192
2012-07-01,male,30_39,201.72530871739792
2012-08-01,male,30_39,215.58935480910785
2012-09-01,male,30_39,187.75325572474927
2012-10-01,male,30_39,227.08005471532613
2012-11-01,male,30_39,208.321262078751
2012-12-01,male,30_39,198.52134239155316
2013-01-01,male,30_39,263.6636340645037
2013-02-01,male,30_39,197.1728914176804
2013-03-01,male,30_39,248.56817579108798
2013-04-01,male,30_39,223.8950235511818
2013-05-01,male,30_39,248.5353663640341
2013-06-01,male,30_39,220.9838474457903
